NOVA Microhypervisor v6-88ead68 (x86_64): Aug 30 2022 12:13:30 [gcc 4.8.1]

[kernel  : 0] CORE:0:0:0 6:9e:b:1 [aa] Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz
[kernel  : 1] CORE:0:1:0 6:9e:b:1 [aa] Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz
[kernel  : 2] CORE:0:2:0 6:9e:b:1 [aa] Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz
[kernel  : 3] CORE:0:3:0 6:9e:b:1 [aa] Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz
[    root] Welcome to NRE rev -unknown- built with gcc 4.8.1
[    root] Hip checksum is valid
[    root] SEL: 67108864, EXC: 32, VMI: 256, GSI: 128
[    root] CPU runs @ 3600 Mhz, bus @ 24 Mhz
[    root] Virtual memory for mappings:
[    root] 	0000:0000:0009:1000 .. 0000:0001:ffff:ffff (7.9 GiB)
[    root] Virtual memory for RAM:
[    root] 	0000:0002:0000:0000 .. 0000:0004:be7f:ffff (10.9 GiB)
[    root] Physical memory:
[    root] 	0000:0000:0010:0000 .. 0000:0000:003f:ffff (3.0 MiB)
[    root] 	0000:0000:3099:0000 .. 0000:0000:38c6:2fff (130.8 MiB)
[    root] 	0000:0000:390c:1000 .. 0000:0000:3922:7fff (1.4 MiB)
[    root] 	0000:0000:39ef:f000 .. 0000:0000:39ef:ffff (4.0 KiB)
[    root] 	0000:0001:0000:0000 .. 0000:0002:be7f:ffff (6.9 GiB)
[    root] 	0000:0000:0199:f000 .. 0000:0000:3098:dfff (751.9 MiB)
[    root] 	0000:0000:0180:0000 .. 0000:0000:0180:5fff (24.0 KiB)
[    root] Memory map:
[    root] 	addr=0000:0000:0000:0000 size=0x000009d000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:0009:d400 size=0x0000002c00 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:000e:0000 size=0x0000020000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:0010:0000 size=0x003088e000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:3098:e000 size=0x0000001000 type=+4 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:3098:f000 size=0x0000001000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:3099:0000 size=0x00082d3000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:38c6:3000 size=0x000045e000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:390c:1000 size=0x0000167000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:3922:8000 size=0x00003a9000 type=+4 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:395d:1000 size=0x000092e000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:39ef:f000 size=0x0000001000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0001:0000:0000 size=0x01be800000 type=+1 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:39f0:0000 size=0x0005900000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:e000:0000 size=0x0010000000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:fe00:0000 size=0x0000011000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:fec0:0000 size=0x0000001000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:fee0:0000 size=0x0000001000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:ff00:0000 size=0x0001000000 type=+2 aux=0000:0000:0000:0000
[    root] 	addr=0000:0000:0180:6000 size=0x00000cec9e type=-2 aux=0000:0002:0010:1be0 ((nd)/nils/bin/apps/root)
[    root] 	addr=0000:0000:018d:5000 size=0x00000c9eae type=-2 aux=0000:0002:0010:1bf8 ((nd)/nils/bin/apps/unittests)
[    root] 	addr=0000:0000:0040:0000 size=0x0001400000 type=-1 aux=0000:0000:0000:0000
[unittest] Testing Cross-Pd PingPong...
[unittest] ! PingpongXPd.cc:144 Using the empty portal between CPU 1 and 0: ok
[pingpong] ! PingpongXPd.cc:123 PERF: prof.avg() 10275 cycles ok
[pingpong] ! PingpongXPd.cc:124 min: 9958 ok
[pingpong] ! PingpongXPd.cc:125 max: 54230 ok
[pingpong] ! PingpongXPd.cc:126 var: 1944013.250000 ok
[pingpong] ! PingpongXPd.cc:128 10100 ok
[pingpong] ! PingpongXPd.cc:128 10218 ok
[pingpong] ! PingpongXPd.cc:128 10090 ok
[pingpong] ! PingpongXPd.cc:128 10300 ok
[pingpong] ! PingpongXPd.cc:128 10100 ok
[pingpong] ! PingpongXPd.cc:128 10068 ok
[pingpong] ! PingpongXPd.cc:128 10200 ok
[pingpong] ! PingpongXPd.cc:128 10226 ok
[pingpong] ! PingpongXPd.cc:128 10160 ok
[pingpong] ! PingpongXPd.cc:128 10324 ok
[pingpong] ! PingpongXPd.cc:128 10190 ok
[pingpong] ! PingpongXPd.cc:128 10318 ok
[pingpong] ! PingpongXPd.cc:128 10094 ok
[pingpong] ! PingpongXPd.cc:128 10134 ok
[pingpong] ! PingpongXPd.cc:128 10288 ok
[pingpong] ! PingpongXPd.cc:128 10224 ok
[pingpong] ! PingpongXPd.cc:128 10164 ok
[pingpong] ! PingpongXPd.cc:128 10214 ok
[pingpong] ! PingpongXPd.cc:128 10140 ok
[pingpong] ! PingpongXPd.cc:128 10376 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10206 ok
[pingpong] ! PingpongXPd.cc:128 10144 ok
[pingpong] ! PingpongXPd.cc:128 10202 ok
[pingpong] ! PingpongXPd.cc:128 10208 ok
[pingpong] ! PingpongXPd.cc:128 10146 ok
[pingpong] ! PingpongXPd.cc:128 10392 ok
[pingpong] ! PingpongXPd.cc:128 10262 ok
[pingpong] ! PingpongXPd.cc:128 10092 ok
[pingpong] ! PingpongXPd.cc:128 10100 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10240 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10238 ok
[pingpong] ! PingpongXPd.cc:128 10236 ok
[pingpong] ! PingpongXPd.cc:128 10390 ok
[pingpong] ! PingpongXPd.cc:128 10194 ok
[pingpong] ! PingpongXPd.cc:128 10054 ok
[pingpong] ! PingpongXPd.cc:128 10176 ok
[pingpong] ! PingpongXPd.cc:128 10356 ok
[pingpong] ! PingpongXPd.cc:128 10130 ok
[pingpong] ! PingpongXPd.cc:128 10074 ok
[pingpong] ! PingpongXPd.cc:128 10270 ok
[pingpong] ! PingpongXPd.cc:128 10338 ok
[pingpong] ! PingpongXPd.cc:128 10228 ok
[pingpong] ! PingpongXPd.cc:128 10188 ok
[pingpong] ! PingpongXPd.cc:128 10238 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10262 ok
[pingpong] ! PingpongXPd.cc:128 10112 ok
[pingpong] ! PingpongXPd.cc:128 10274 ok
[pingpong] ! PingpongXPd.cc:128 10268 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10282 ok
[pingpong] ! PingpongXPd.cc:128 10080 ok
[pingpong] ! PingpongXPd.cc:128 10336 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10080 ok
[pingpong] ! PingpongXPd.cc:128 10166 ok
[pingpong] ! PingpongXPd.cc:128 10262 ok
[pingpong] ! PingpongXPd.cc:128 10122 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10156 ok
[pingpong] ! PingpongXPd.cc:128 10350 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10220 ok
[pingpong] ! PingpongXPd.cc:128 10374 ok
[pingpong] ! PingpongXPd.cc:128 10156 ok
[pingpong] ! PingpongXPd.cc:128 10136 ok
[pingpong] ! PingpongXPd.cc:128 10254 ok
[pingpong] ! PingpongXPd.cc:128 10222 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10256 ok
[pingpong] ! PingpongXPd.cc:128 10104 ok
[pingpong] ! PingpongXPd.cc:128 10292 ok
[pingpong] ! PingpongXPd.cc:128 10286 ok
[pingpong] ! PingpongXPd.cc:128 10354 ok
[pingpong] ! PingpongXPd.cc:128 10252 ok
[pingpong] ! PingpongXPd.cc:128 10088 ok
[pingpong] ! PingpongXPd.cc:128 10160 ok
[pingpong] ! PingpongXPd.cc:128 10284 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10116 ok
[pingpong] ! PingpongXPd.cc:128 10100 ok
[pingpong] ! PingpongXPd.cc:128 10176 ok
[pingpong] ! PingpongXPd.cc:128 10182 ok
[pingpong] ! PingpongXPd.cc:128 10068 ok
[pingpong] ! PingpongXPd.cc:128 10280 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10252 ok
[pingpong] ! PingpongXPd.cc:128 10202 ok
[pingpong] ! PingpongXPd.cc:128 10218 ok
[pingpong] ! PingpongXPd.cc:128 10098 ok
[pingpong] ! PingpongXPd.cc:128 10206 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10244 ok
[pingpong] ! PingpongXPd.cc:128 10224 ok
[pingpong] ! PingpongXPd.cc:128 10366 ok
[pingpong] ! PingpongXPd.cc:128 10302 ok
[pingpong] ! PingpongXPd.cc:128 10096 ok
[pingpong] ! PingpongXPd.cc:128 10170 ok
[pingpong] ! PingpongXPd.cc:128 10216 ok
[pingpong] ! PingpongXPd.cc:128 10186 ok
[pingpong] ! PingpongXPd.cc:128 10246 ok
[pingpong] ! PingpongXPd.cc:128 10096 ok
[pingpong] ! PingpongXPd.cc:128 10144 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10250 ok
[pingpong] ! PingpongXPd.cc:128 10226 ok
[pingpong] ! PingpongXPd.cc:128 10184 ok
[pingpong] ! PingpongXPd.cc:128 10208 ok
[pingpong] ! PingpongXPd.cc:128 10124 ok
[pingpong] ! PingpongXPd.cc:128 10064 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10202 ok
[pingpong] ! PingpongXPd.cc:128 10194 ok
[pingpong] ! PingpongXPd.cc:128 10248 ok
[pingpong] ! PingpongXPd.cc:128 10280 ok
[pingpong] ! PingpongXPd.cc:128 10168 ok
[pingpong] ! PingpongXPd.cc:128 10352 ok
[pingpong] ! PingpongXPd.cc:128 10252 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10116 ok
[pingpong] ! PingpongXPd.cc:128 10360 ok
[pingpong] ! PingpongXPd.cc:128 10284 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10128 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10436 ok
[pingpong] ! PingpongXPd.cc:128 10194 ok
[pingpong] ! PingpongXPd.cc:128 10192 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10218 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10098 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10312 ok
[pingpong] ! PingpongXPd.cc:128 10094 ok
[pingpong] ! PingpongXPd.cc:128 10282 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10242 ok
[pingpong] ! PingpongXPd.cc:128 10308 ok
[pingpong] ! PingpongXPd.cc:128 10148 ok
[pingpong] ! PingpongXPd.cc:128 10170 ok
[pingpong] ! PingpongXPd.cc:128 10146 ok
[pingpong] ! PingpongXPd.cc:128 10042 ok
[pingpong] ! PingpongXPd.cc:128 10110 ok
[pingpong] ! PingpongXPd.cc:128 10434 ok
[pingpong] ! PingpongXPd.cc:128 10196 ok
[pingpong] ! PingpongXPd.cc:128 10300 ok
[pingpong] ! PingpongXPd.cc:128 10104 ok
[pingpong] ! PingpongXPd.cc:128 10260 ok
[pingpong] ! PingpongXPd.cc:128 10264 ok
[pingpong] ! PingpongXPd.cc:128 10122 ok
[pingpong] ! PingpongXPd.cc:128 10070 ok
[pingpong] ! PingpongXPd.cc:128 10342 ok
[pingpong] ! PingpongXPd.cc:128 10324 ok
[pingpong] ! PingpongXPd.cc:128 10216 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10362 ok
[pingpong] ! PingpongXPd.cc:128 10240 ok
[pingpong] ! PingpongXPd.cc:128 10164 ok
[pingpong] ! PingpongXPd.cc:128 10176 ok
[pingpong] ! PingpongXPd.cc:128 10364 ok
[pingpong] ! PingpongXPd.cc:128 10142 ok
[pingpong] ! PingpongXPd.cc:128 10188 ok
[pingpong] ! PingpongXPd.cc:128 10058 ok
[pingpong] ! PingpongXPd.cc:128 10324 ok
[pingpong] ! PingpongXPd.cc:128 10174 ok
[pingpong] ! PingpongXPd.cc:128 10128 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10412 ok
[pingpong] ! PingpongXPd.cc:128 10192 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10200 ok
[pingpong] ! PingpongXPd.cc:128 10238 ok
[pingpong] ! PingpongXPd.cc:128 10192 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10204 ok
[pingpong] ! PingpongXPd.cc:128 10296 ok
[pingpong] ! PingpongXPd.cc:128 10300 ok
[pingpong] ! PingpongXPd.cc:128 10462 ok
[pingpong] ! PingpongXPd.cc:128 10258 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10154 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10090 ok
[pingpong] ! PingpongXPd.cc:128 10216 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10272 ok
[pingpong] ! PingpongXPd.cc:128 10220 ok
[pingpong] ! PingpongXPd.cc:128 10096 ok
[pingpong] ! PingpongXPd.cc:128 10230 ok
[pingpong] ! PingpongXPd.cc:128 10310 ok
[pingpong] ! PingpongXPd.cc:128 10214 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10144 ok
[pingpong] ! PingpongXPd.cc:128 10232 ok
[pingpong] ! PingpongXPd.cc:128 10340 ok
[pingpong] ! PingpongXPd.cc:128 10140 ok
[pingpong] ! PingpongXPd.cc:128 10330 ok
[pingpong] ! PingpongXPd.cc:128 10260 ok
[pingpong] ! PingpongXPd.cc:128 10166 ok
[pingpong] ! PingpongXPd.cc:128 10176 ok
[pingpong] ! PingpongXPd.cc:128 10278 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10114 ok
[pingpong] ! PingpongXPd.cc:128 10052 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10254 ok
[pingpong] ! PingpongXPd.cc:128 10244 ok
[pingpong] ! PingpongXPd.cc:128 10322 ok
[pingpong] ! PingpongXPd.cc:128 10274 ok
[pingpong] ! PingpongXPd.cc:128 10250 ok
[pingpong] ! PingpongXPd.cc:128 10110 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10058 ok
[pingpong] ! PingpongXPd.cc:128 10118 ok
[pingpong] ! PingpongXPd.cc:128 10174 ok
[pingpong] ! PingpongXPd.cc:128 10162 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10244 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10284 ok
[pingpong] ! PingpongXPd.cc:128 10270 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10086 ok
[pingpong] ! PingpongXPd.cc:128 10118 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10236 ok
[pingpong] ! PingpongXPd.cc:128 10200 ok
[pingpong] ! PingpongXPd.cc:128 10192 ok
[pingpong] ! PingpongXPd.cc:128 10238 ok
[pingpong] ! PingpongXPd.cc:128 10252 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10314 ok
[pingpong] ! PingpongXPd.cc:128 10162 ok
[pingpong] ! PingpongXPd.cc:128 10304 ok
[pingpong] ! PingpongXPd.cc:128 10084 ok
[pingpong] ! PingpongXPd.cc:128 10182 ok
[pingpong] ! PingpongXPd.cc:128 10146 ok
[pingpong] ! PingpongXPd.cc:128 10258 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10218 ok
[pingpong] ! PingpongXPd.cc:128 10080 ok
[pingpong] ! PingpongXPd.cc:128 10322 ok
[pingpong] ! PingpongXPd.cc:128 10220 ok
[pingpong] ! PingpongXPd.cc:128 10114 ok
[pingpong] ! PingpongXPd.cc:128 10078 ok
[pingpong] ! PingpongXPd.cc:128 10258 ok
[pingpong] ! PingpongXPd.cc:128 10166 ok
[pingpong] ! PingpongXPd.cc:128 10222 ok
[pingpong] ! PingpongXPd.cc:128 10148 ok
[pingpong] ! PingpongXPd.cc:128 10308 ok
[pingpong] ! PingpongXPd.cc:128 10248 ok
[pingpong] ! PingpongXPd.cc:128 10116 ok
[pingpong] ! PingpongXPd.cc:128 10184 ok
[pingpong] ! PingpongXPd.cc:128 10270 ok
[pingpong] ! PingpongXPd.cc:128 10282 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10090 ok
[pingpong] ! PingpongXPd.cc:128 10148 ok
[pingpong] ! PingpongXPd.cc:128 10148 ok
[pingpong] ! PingpongXPd.cc:128 10146 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10258 ok
[pingpong] ! PingpongXPd.cc:128 10154 ok
[pingpong] ! PingpongXPd.cc:128 10254 ok
[pingpong] ! PingpongXPd.cc:128 10122 ok
[pingpong] ! PingpongXPd.cc:128 10192 ok
[pingpong] ! PingpongXPd.cc:128 10120 ok
[pingpong] ! PingpongXPd.cc:128 10144 ok
[pingpong] ! PingpongXPd.cc:128 10078 ok
[pingpong] ! PingpongXPd.cc:128 10370 ok
[pingpong] ! PingpongXPd.cc:128 10278 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10094 ok
[pingpong] ! PingpongXPd.cc:128 10458 ok
[pingpong] ! PingpongXPd.cc:128 10286 ok
[pingpong] ! PingpongXPd.cc:128 10164 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10224 ok
[pingpong] ! PingpongXPd.cc:128 10092 ok
[pingpong] ! PingpongXPd.cc:128 10338 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10308 ok
[pingpong] ! PingpongXPd.cc:128 10062 ok
[pingpong] ! PingpongXPd.cc:128 10160 ok
[pingpong] ! PingpongXPd.cc:128 10112 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10118 ok
[pingpong] ! PingpongXPd.cc:128 10122 ok
[pingpong] ! PingpongXPd.cc:128 10114 ok
[pingpong] ! PingpongXPd.cc:128 10328 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10162 ok
[pingpong] ! PingpongXPd.cc:128 10242 ok
[pingpong] ! PingpongXPd.cc:128 10186 ok
[pingpong] ! PingpongXPd.cc:128 10220 ok
[pingpong] ! PingpongXPd.cc:128 10184 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10328 ok
[pingpong] ! PingpongXPd.cc:128 10194 ok
[pingpong] ! PingpongXPd.cc:128 10156 ok
[pingpong] ! PingpongXPd.cc:128 10320 ok
[pingpong] ! PingpongXPd.cc:128 10228 ok
[pingpong] ! PingpongXPd.cc:128 10044 ok
[pingpong] ! PingpongXPd.cc:128 10266 ok
[pingpong] ! PingpongXPd.cc:128 10128 ok
[pingpong] ! PingpongXPd.cc:128 10324 ok
[pingpong] ! PingpongXPd.cc:128 10196 ok
[pingpong] ! PingpongXPd.cc:128 10168 ok
[pingpong] ! PingpongXPd.cc:128 10160 ok
[pingpong] ! PingpongXPd.cc:128 10396 ok
[pingpong] ! PingpongXPd.cc:128 10184 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10212 ok
[pingpong] ! PingpongXPd.cc:128 10176 ok
[pingpong] ! PingpongXPd.cc:128 10154 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10340 ok
[pingpong] ! PingpongXPd.cc:128 10168 ok
[pingpong] ! PingpongXPd.cc:128 10142 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10314 ok
[pingpong] ! PingpongXPd.cc:128 10084 ok
[pingpong] ! PingpongXPd.cc:128 10108 ok
[pingpong] ! PingpongXPd.cc:128 10198 ok
[pingpong] ! PingpongXPd.cc:128 10234 ok
[pingpong] ! PingpongXPd.cc:128 10212 ok
[pingpong] ! PingpongXPd.cc:128 10190 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10276 ok
[pingpong] ! PingpongXPd.cc:128 10090 ok
[pingpong] ! PingpongXPd.cc:128 10082 ok
[pingpong] ! PingpongXPd.cc:128 10132 ok
[pingpong] ! PingpongXPd.cc:128 10334 ok
[pingpong] ! PingpongXPd.cc:128 10242 ok
[pingpong] ! PingpongXPd.cc:128 10292 ok
[pingpong] ! PingpongXPd.cc:128 10272 ok
[pingpong] ! PingpongXPd.cc:128 10186 ok
[pingpong] ! PingpongXPd.cc:128 10150 ok
[pingpong] ! PingpongXPd.cc:128 10136 ok
[pingpong] ! PingpongXPd.cc:128 10230 ok
[pingpong] ! PingpongXPd.cc:128 10240 ok
[pingpong] ! PingpongXPd.cc:128 10200 ok
[pingpong] ! PingpongXPd.cc:128 10082 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10268 ok
[pingpong] ! PingpongXPd.cc:128 10136 ok
[pingpong] ! PingpongXPd.cc:128 10262 ok
[pingpong] ! PingpongXPd.cc:128 10216 ok
[pingpong] ! PingpongXPd.cc:128 10210 ok
[pingpong] ! PingpongXPd.cc:128 10202 ok
[pingpong] ! PingpongXPd.cc:128 10104 ok
[pingpong] ! PingpongXPd.cc:128 10316 ok
[pingpong] ! PingpongXPd.cc:128 10132 ok
[pingpong] ! PingpongXPd.cc:128 10270 ok
[pingpong] ! PingpongXPd.cc:128 10126 ok
[pingpong] ! PingpongXPd.cc:128 10244 ok
[pingpong] ! PingpongXPd.cc:128 10206 ok
[pingpong] ! PingpongXPd.cc:128 10178 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10200 ok
[pingpong] ! PingpongXPd.cc:128 10100 ok
[pingpong] ! PingpongXPd.cc:128 10270 ok
[pingpong] ! PingpongXPd.cc:128 10184 ok
[pingpong] ! PingpongXPd.cc:128 10246 ok
[pingpong] ! PingpongXPd.cc:128 10166 ok
[pingpong] ! PingpongXPd.cc:128 10104 ok
[pingpong] ! PingpongXPd.cc:128 10012 ok
[pingpong] ! PingpongXPd.cc:128 10258 ok
[pingpong] ! PingpongXPd.cc:128 10116 ok
[pingpong] ! PingpongXPd.cc:128 10146 ok
[pingpong] ! PingpongXPd.cc:128 10062 ok
[pingpong] ! PingpongXPd.cc:128 10374 ok
[pingpong] ! PingpongXPd.cc:128 10112 ok
[pingpong] ! PingpongXPd.cc:128 10172 ok
[pingpong] ! PingpongXPd.cc:128 10242 ok
[pingpong] ! PingpongXPd.cc:128 10174 ok
[pingpong] ! PingpongXPd.cc:128 10300 ok
[pingpong] ! PingpongXPd.cc:128 10064 ok
[pingpong] ! PingpongXPd.cc:128 10228 ok
[pingpong] ! PingpongXPd.cc:128 10202 ok
[pingpong] ! PingpongXPd.cc:128 10074 ok
[pingpong] ! PingpongXPd.cc:128 10138 ok
[pingpong] ! PingpongXPd.cc:128 10276 ok
[pingpong] ! PingpongXPd.cc:128 10430 ok
[pingpong] ! PingpongXPd.cc:128 10186 ok
[pingpong] ! PingpongXPd.cc:128 10208 ok
[pingpong] ! PingpongXPd.cc:128 10330 ok
[pingpong] ! PingpongXPd.cc:128 10356 ok
[pingpong] ! PingpongXPd.cc:128 10164 ok
[pingpong] ! PingpongXPd.cc:128 10194 ok
[pingpong] ! PingpongXPd.cc:128 10240 ok
[pingpong] ! PingpongXPd.cc:128 10186 ok
[pingpong] ! PingpongXPd.cc:128 10260 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10158 ok
[pingpong] ! PingpongXPd.cc:128 10190 ok
[pingpong] ! PingpongXPd.cc:128 10092 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10224 ok
[pingpong] ! PingpongXPd.cc:128 10152 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10102 ok
[pingpong] ! PingpongXPd.cc:128 10242 ok
[pingpong] ! PingpongXPd.cc:128 10190 ok
[pingpong] ! PingpongXPd.cc:128 10106 ok
[pingpong] ! PingpongXPd.cc:128 10102 ok
[pingpong] ! PingpongXPd.cc:128 10190 ok
[pingpong] ! PingpongXPd.cc:128 10328 ok
[pingpong] ! PingpongXPd.cc:128 10168 ok
[pingpong] ! PingpongXPd.cc:128 10118 ok
[pingpong] ! PingpongXPd.cc:128 10108 ok
[pingpong] ! PingpongXPd.cc:128 10282 ok
[pingpong] ! PingpongXPd.cc:128 10180 ok
[pingpong] ! PingpongXPd.cc:128 10086 ok
[pingpong] ! PingpongXPd.cc:128 10094 ok
[pingpong] ! PingpongXPd.cc:128 10282 ok
